ojibwe word,part of speech,url,definition
abanzh,ni,https://ojibwe.lib.umn.edu/main-entry/abanzh-ni,a lodge pole; a rafter
abashkwebiigininjiishin,vai,https://ojibwe.lib.umn.edu/main-entry/abashkwebiigininjiishin-vai,s/he gets a blister or blisters on h/ hand
abashkwebiigizi,vai,https://ojibwe.lib.umn.edu/main-entry/abashkwebiigizi-vai,s/he has a blister or blisters
abashkwebiigizideshin,vai,https://ojibwe.lib.umn.edu/main-entry/abashkwebiigizideshin-vai,s/he gets a blister or blisters on h/ foot
abaabas,vta,https://ojibwe.lib.umn.edu/main-entry/abaabas-vta,"smudge, cense h/; smoke h/ (for preservation)"
abaabasan,vti,https://ojibwe.lib.umn.edu/main-entry/abaabasan-vti,"smudge, cense it; smoke it (for preservation)"
abaabasige,vai,https://ojibwe.lib.umn.edu/main-entry/abaabasige-vai,"s/he smudges, censes things"
abaabaso,vai,https://ojibwe.lib.umn.edu/main-entry/abaabaso-vai,"s/he smudges, censes h/ self"
abaabaswi,vta,https://ojibwe.lib.umn.edu/main-entry/abaabaswi-vta,
abaabikizan,vti,https://ojibwe.lib.umn.edu/main-entry/abaabikizan-vti,"warm it (mineral), heat it (mineral) up"
abaabikizwi,vta,https://ojibwe.lib.umn.edu/main-entry/abaabikizwi-vta,
abaabikizwi,vta,https://ojibwe.lib.umn.edu/main-entry/abaabikizwi-vta,
abaagamide,vii,https://ojibwe.lib.umn.edu/main-entry/abaagamide-vii,"it (liquid) warms up, is warm, is lukewarm"
abaagamide-nibi,ni,https://ojibwe.lib.umn.edu/main-entry/abaagamide-nibi-ni,"warm water, lukewarm water"
abaagamizamaw,vta,https://ojibwe.lib.umn.edu/main-entry/abaagamizamaw-vta,warm something (liquid) up for h/
abaagamizan,vti,https://ojibwe.lib.umn.edu/main-entry/abaagamizan-vti,warm it (liquid)
abaagamizige,vai,https://ojibwe.lib.umn.edu/main-entry/abaagamizige-vai,s/he warms something liquid
abaakiganezo,vai,https://ojibwe.lib.umn.edu/main-entry/abaakiganezo-vai,skip
abaapiniziwaagan,pc-interj,https://ojibwe.lib.umn.edu/main-entry/abaapiniziwaagan-pc-interj,
abaasandeke,vai,https://ojibwe.lib.umn.edu/main-entry/abaasandeke-vai,s/he basks in the sun
abaaso,vai,https://ojibwe.lib.umn.edu/main-entry/abaaso-vai,s/he warms up in the sun
abaate,vii,https://ojibwe.lib.umn.edu/main-entry/abaate-vii,it warms up (of the weather)
abaawiganezo,vai,https://ojibwe.lib.umn.edu/main-entry/abaawiganezo-vai,s/he warms h/ (own) back
abi,vai,https://ojibwe.lib.umn.edu/main-entry/abi-vai,"s/he is at home, sits in a certain place"
abide,vii,https://ojibwe.lib.umn.edu/main-entry/abide-vii,"it warms up, is warmed at a fire or stove"
abidiyezo,vai,https://ojibwe.lib.umn.edu/main-entry/abidiyezo-vai,s/he warms h/ rear against fire
abinaas,ni,https://ojibwe.lib.umn.edu/main-entry/abinaas-ni,a placenta
abininjiizo,vai,https://ojibwe.lib.umn.edu/main-entry/abininjiizo-vai,s/he warms h/ (own) hands
abinoojiinh,na,https://ojibwe.lib.umn.edu/main-entry/abinoojiinh-na,a child
abinoojiinh-makizinens,ni,https://ojibwe.lib.umn.edu/main-entry/abinoojiinh-makizinens-ni,skip
abinoojiinyens,na,https://ojibwe.lib.umn.edu/main-entry/abinoojiinyens-na,skip
abinoojiinyikaazo,vai,https://ojibwe.lib.umn.edu/main-entry/abinoojiinyikaazo-vai,s/he pretends to be a child
abinoojiinyiwi,vai,https://ojibwe.lib.umn.edu/main-entry/abinoojiinyiwi-vai,s/he is a child
abinoonjii,na,https://ojibwe.lib.umn.edu/main-entry/abinoonjii-na,
abiwin,ni,https://ojibwe.lib.umn.edu/main-entry/abiwin-ni,"a room, a living room"
abiz,vta,https://ojibwe.lib.umn.edu/main-entry/abiz-vta,warm h/ at the fire
abizamaw,vta,https://ojibwe.lib.umn.edu/main-entry/abizamaw-vta,warm something for h/ at the fire
abizan,vti,https://ojibwe.lib.umn.edu/main-entry/abizan-vti,warm it at the fire
abizidezo,vai,https://ojibwe.lib.umn.edu/main-entry/abizidezo-vai,s/he warms h/ (own) foot or feet
abizidezwi,vta,https://ojibwe.lib.umn.edu/main-entry/abizidezwi-vta,warm h/ foot or feet
abizigaade,vii,https://ojibwe.lib.umn.edu/main-entry/abizigaade-vii,"it is warmed at the fire (by someone), ""they"" warm it at the fire"
abizigaazo,vai,https://ojibwe.lib.umn.edu/main-entry/abizigaazo-vai,"s/he or it (animate) is warmed at the fire (by someone), ""they"" warm h/ or it at the fire"
abizige,vai,https://ojibwe.lib.umn.edu/main-entry/abizige-vai,s/he warms (something) at the fire
abizo,vai,https://ojibwe.lib.umn.edu/main-entry/abizo-vai,"s/he warms up at a heat source (a fire, a stove, the sun, etc.)"
abizodizo,vai,https://ojibwe.lib.umn.edu/main-entry/abizodizo-vai,s/he warms h/ self at the fire or stove
abizwi,vta,https://ojibwe.lib.umn.edu/main-entry/abizwi-vta,
abiichigaade,vii,https://ojibwe.lib.umn.edu/main-entry/abiichigaade-vii,it is occupied
abiigizan,vti,https://ojibwe.lib.umn.edu/main-entry/abiigizan-vti,warm it (something sheet-like) at a fire
abiigizige,vai,https://ojibwe.lib.umn.edu/main-entry/abiigizige-vai,s/he warms something (sheet-like) at the fire; s/he warms the drum
abiigizigewinini,na,https://ojibwe.lib.umn.edu/main-entry/abiigizigewinini-na,a drum heater
abiigizwi,vta,https://ojibwe.lib.umn.edu/main-entry/abiigizwi-vta,
abiigizwi,vta,https://ojibwe.lib.umn.edu/main-entry/abiigizwi-vta,
abiingwezo,vai,https://ojibwe.lib.umn.edu/main-entry/abiingwezo-vai,s/he warms h/ (own) face against the fire
abiitan,vti,https://ojibwe.lib.umn.edu/main-entry/abiitan-vti,"live in, occupy it"
abiitaw,vta,https://ojibwe.lib.umn.edu/main-entry/abiitaw-vta,"sit up with, tend to h/ (e.g., the deceased at a wake, a sick person)"
abiiwigamig,ni,https://ojibwe.lib.umn.edu/main-entry/abiiwigamig-ni,a living room
abwaadan,vti,https://ojibwe.lib.umn.edu/main-entry/abwaadan-vti,"roast, cook it over a fire"
abwaajigan,na,https://ojibwe.lib.umn.edu/main-entry/abwaajigan-na,bread cooked over a fire
abwaajigan,ni,https://ojibwe.lib.umn.edu/main-entry/abwaajigan-ni,roasted meat or fish
abwaajige,vai,https://ojibwe.lib.umn.edu/main-entry/abwaajige-vai,s/he roasts things over a fire
abwaan,ni,https://ojibwe.lib.umn.edu/main-entry/abwaan-ni,a roast
abwaanamik,na,https://ojibwe.lib.umn.edu/main-entry/abwaanamik-na,a roasted beaver
abwaanaak,ni,https://ojibwe.lib.umn.edu/main-entry/abwaanaak-ni,"a spit, a stick for roasting something over a fire"
abwaanaako-bakwezhigan,na,https://ojibwe.lib.umn.edu/main-entry/abwaanaako-bakwezhigan-na,bannock baked on a spit over a fire
abwaazh,vta,https://ojibwe.lib.umn.edu/main-entry/abwaazh-vta,"roast, cook h/ over a fire"
abwe,vai,https://ojibwe.lib.umn.edu/main-entry/abwe-vai,"s/he roasts, cooks something over a fire"
abwemaagozi,vai,https://ojibwe.lib.umn.edu/main-entry/abwemaagozi-vai,s/he smells sweaty
abwemaagwad,vii,https://ojibwe.lib.umn.edu/main-entry/abwemaagwad-vii,it smells sweaty
abwen,vai-o,https://ojibwe.lib.umn.edu/main-entry/abwen-vai-o,"roast, cook it over a fire; s/he cooks (it) over a fire"
abwendibe,vai,https://ojibwe.lib.umn.edu/main-entry/abwendibe-vai,s/he has a sweaty head
abwenike,vai,https://ojibwe.lib.umn.edu/main-entry/abwenike-vai,s/he has a sweaty arm or sweaty arms
abweninjii,vai,https://ojibwe.lib.umn.edu/main-entry/abweninjii-vai,s/he has a sweaty hand
abwewas,vta,https://ojibwe.lib.umn.edu/main-entry/abwewas-vta,cure h/ over a fire
abwewasan,vti,https://ojibwe.lib.umn.edu/main-entry/abwewasan-vti,cure it over a fire
abwewasigan,ni,https://ojibwe.lib.umn.edu/main-entry/abwewasigan-ni,fire-cured meat or fish
abwewasige,vai,https://ojibwe.lib.umn.edu/main-entry/abwewasige-vai,s/he cures things over a fire
abwewaswi,vta,https://ojibwe.lib.umn.edu/main-entry/abwewaswi-vta,
abwewin,ni,https://ojibwe.lib.umn.edu/main-entry/abwewin-ni,a frying pan
abwewinaabik,ni,https://ojibwe.lib.umn.edu/main-entry/abwewinaabik-ni,a frying pan
abweyiingwe,vai,https://ojibwe.lib.umn.edu/main-entry/abweyiingwe-vai,s/he has a sweaty face
abwezide,vai,https://ojibwe.lib.umn.edu/main-entry/abwezide-vai,s/he has a sweaty foot
abwezo,vai,https://ojibwe.lib.umn.edu/main-entry/abwezo-vai,s/he sweats
abwi,ni,https://ojibwe.lib.umn.edu/main-entry/abwi-ni,a paddle
abwiikaw,vta,https://ojibwe.lib.umn.edu/main-entry/abwiikaw-vta,make a paddle or paddles for h/
abwiikaan,na,https://ojibwe.lib.umn.edu/main-entry/abwiikaan-na,a propeller
abwiikaanens,na,https://ojibwe.lib.umn.edu/main-entry/abwiikaanens-na,a boat propeller or outboard motor propeller
abwiike,vai,https://ojibwe.lib.umn.edu/main-entry/abwiike-vai,s/he makes paddles
