category,part of speech,ojibwe word,definition,url
noun,ni,abanzh,a lodge pole; a rafter,https://ojibwe.lib.umn.edu/main-entry/abanzh-ni
verb,vai,abashkwebiigininjiishin,s/he gets a blister or blisters on h/ hand,https://ojibwe.lib.umn.edu/main-entry/abashkwebiigininjiishin-vai
verb,vai,abashkwebiigizi,s/he has a blister or blisters,https://ojibwe.lib.umn.edu/main-entry/abashkwebiigizi-vai
verb,vai,abashkwebiigizideshin,s/he gets a blister or blisters on h/ foot,https://ojibwe.lib.umn.edu/main-entry/abashkwebiigizideshin-vai
verb,vta,abaabas,"smudge, cense h/; smoke h/ (for preservation)",https://ojibwe.lib.umn.edu/main-entry/abaabas-vta
verb,vti,abaabasan,"smudge, cense it; smoke it (for preservation)",https://ojibwe.lib.umn.edu/main-entry/abaabasan-vti
verb,vai,abaabasige,"s/he smudges, censes things",https://ojibwe.lib.umn.edu/main-entry/abaabasige-vai
verb,vai,abaabaso,"s/he smudges, censes h/ self",https://ojibwe.lib.umn.edu/main-entry/abaabaso-vai
verb,vti,abaabikizan,"warm it (mineral), heat it (mineral) up",https://ojibwe.lib.umn.edu/main-entry/abaabikizan-vti
verb,vii,abaagamide,"it (liquid) warms up, is warm, is lukewarm",https://ojibwe.lib.umn.edu/main-entry/abaagamide-vii
noun,ni,abaagamide-nibi,"warm water, lukewarm water",https://ojibwe.lib.umn.edu/main-entry/abaagamide-nibi-ni
verb,vta,abaagamizamaw,warm something (liquid) up for h/,https://ojibwe.lib.umn.edu/main-entry/abaagamizamaw-vta
verb,vti,abaagamizan,warm it (liquid),https://ojibwe.lib.umn.edu/main-entry/abaagamizan-vti
verb,vai,abaagamizige,s/he warms something liquid,https://ojibwe.lib.umn.edu/main-entry/abaagamizige-vai
verb,vai,abaasandeke,s/he basks in the sun,https://ojibwe.lib.umn.edu/main-entry/abaasandeke-vai
verb,vai,abaaso,s/he warms up in the sun,https://ojibwe.lib.umn.edu/main-entry/abaaso-vai
verb,vii,abaate,it warms up (of the weather),https://ojibwe.lib.umn.edu/main-entry/abaate-vii
verb,vai,abaawiganezo,s/he warms h/ (own) back,https://ojibwe.lib.umn.edu/main-entry/abaawiganezo-vai
verb,vai,abi,"s/he is at home, sits in a certain place",https://ojibwe.lib.umn.edu/main-entry/abi-vai
verb,vii,abide,"it warms up, is warmed at a fire or stove",https://ojibwe.lib.umn.edu/main-entry/abide-vii
verb,vai,abidiyezo,s/he warms h/ rear against fire,https://ojibwe.lib.umn.edu/main-entry/abidiyezo-vai
noun,ni,abinaas,a placenta,https://ojibwe.lib.umn.edu/main-entry/abinaas-ni
verb,vai,abininjiizo,s/he warms h/ (own) hands,https://ojibwe.lib.umn.edu/main-entry/abininjiizo-vai
noun,na,abinoojiinh,a child,https://ojibwe.lib.umn.edu/main-entry/abinoojiinh-na
verb,vai,abinoojiinyikaazo,s/he pretends to be a child,https://ojibwe.lib.umn.edu/main-entry/abinoojiinyikaazo-vai
verb,vai,abinoojiinyiwi,s/he is a child,https://ojibwe.lib.umn.edu/main-entry/abinoojiinyiwi-vai
noun,ni,abiwin,"a room, a living room",https://ojibwe.lib.umn.edu/main-entry/abiwin-ni
verb,vta,abiz,warm h/ at the fire,https://ojibwe.lib.umn.edu/main-entry/abiz-vta
verb,vta,abizamaw,warm something for h/ at the fire,https://ojibwe.lib.umn.edu/main-entry/abizamaw-vta
verb,vti,abizan,warm it at the fire,https://ojibwe.lib.umn.edu/main-entry/abizan-vti
verb,vai,abizidezo,s/he warms h/ (own) foot or feet,https://ojibwe.lib.umn.edu/main-entry/abizidezo-vai
verb,vta,abizidezwi,warm h/ foot or feet,https://ojibwe.lib.umn.edu/main-entry/abizidezwi-vta
verb,vii,abizigaade,"it is warmed at the fire (by someone), ""they"" warm it at the fire",https://ojibwe.lib.umn.edu/main-entry/abizigaade-vii
verb,vai,abizigaazo,"s/he or it (animate) is warmed at the fire (by someone), ""they"" warm h/ or it at the fire",https://ojibwe.lib.umn.edu/main-entry/abizigaazo-vai
verb,vai,abizige,s/he warms (something) at the fire,https://ojibwe.lib.umn.edu/main-entry/abizige-vai
verb,vai,abizo,"s/he warms up at a heat source (a fire, a stove, the sun, etc.)",https://ojibwe.lib.umn.edu/main-entry/abizo-vai
verb,vai,abizodizo,s/he warms h/ self at the fire or stove,https://ojibwe.lib.umn.edu/main-entry/abizodizo-vai
verb,vii,abiichigaade,it is occupied,https://ojibwe.lib.umn.edu/main-entry/abiichigaade-vii
verb,vti,abiigizan,warm it (something sheet-like) at a fire,https://ojibwe.lib.umn.edu/main-entry/abiigizan-vti
verb,vai,abiigizige,s/he warms something (sheet-like) at the fire; s/he warms the drum,https://ojibwe.lib.umn.edu/main-entry/abiigizige-vai
noun,na,abiigizigewinini,a drum heater,https://ojibwe.lib.umn.edu/main-entry/abiigizigewinini-na
verb,vai,abiingwezo,s/he warms h/ (own) face against the fire,https://ojibwe.lib.umn.edu/main-entry/abiingwezo-vai
verb,vti,abiitan,"live in, occupy it",https://ojibwe.lib.umn.edu/main-entry/abiitan-vti
verb,vta,abiitaw,"sit up with, tend to h/ (e.g., the deceased at a wake, a sick person)",https://ojibwe.lib.umn.edu/main-entry/abiitaw-vta
noun,ni,abiiwigamig,a living room,https://ojibwe.lib.umn.edu/main-entry/abiiwigamig-ni
verb,vti,abwaadan,"roast, cook it over a fire",https://ojibwe.lib.umn.edu/main-entry/abwaadan-vti
noun,na,abwaajigan,bread cooked over a fire,https://ojibwe.lib.umn.edu/main-entry/abwaajigan-na
noun,ni,abwaajigan,roasted meat or fish,https://ojibwe.lib.umn.edu/main-entry/abwaajigan-ni
verb,vai,abwaajige,s/he roasts things over a fire,https://ojibwe.lib.umn.edu/main-entry/abwaajige-vai
noun,ni,abwaan,a roast,https://ojibwe.lib.umn.edu/main-entry/abwaan-ni
noun,na,abwaanamik,a roasted beaver,https://ojibwe.lib.umn.edu/main-entry/abwaanamik-na
